Model,R2,RMSE,MAE
Random_Forest,0.798642400233286,2.0319564712367213,1.2119106983031036
Lasso,0.7582940387167629,2.2262506959204105,1.4177185198258477
Ridge,0.7270457014590439,2.3657854496137447,1.6446669342463351
Linear_Regression,0.7256618402252493,2.371775059657958,1.6514083531589046
Decision_Tree,0.6654111836964336,2.6193051547444575,1.4683544303797469
KNN,0.39591285593723635,3.5194936344647614,2.5063291139240507
