iter	RMSE
0	4.496902763
1	4.413399363
2	4.331968962
3	4.255899074
4	4.168444814
5	4.099317506
6	4.027104791
7	3.958821659
8	3.885451495
9	3.819986584
10	3.741422595
11	3.676856023
12	3.614864772
13	3.546948916
14	3.479534876
15	3.422905355
16	3.361499817
17	3.303205106
18	3.24746429
19	3.196864019
20	3.144565564
21	3.091789697
22	3.049673495
23	3.003316982
24	2.952703139
25	2.908717471
26	2.859303896
27	2.813523113
28	2.777626821
29	2.731844227
30	2.687942207
31	2.641257958
32	2.609535243
33	2.570615696
34	2.530006619
35	2.495322833
36	2.451859209
37	2.418944638
38	2.381204926
39	2.348741905
40	2.316838272
41	2.282189577
42	2.253539042
43	2.219915405
44	2.192389391
45	2.167890776
46	2.13467168
47	2.105299342
48	2.079262764
49	2.052023433
50	2.025312348
51	1.992744899
52	1.968051476
53	1.945531905
54	1.924151792
55	1.902806071
56	1.87792437
57	1.855759201
58	1.832549217
59	1.808731652
60	1.785114555
61	1.764635932
62	1.743523895
63	1.726138325
64	1.711362019
65	1.690011115
66	1.669357922
67	1.652200617
68	1.630534755
69	1.616650756
70	1.60246419
71	1.584966474
72	1.568083377
73	1.555989781
74	1.535521475
75	1.524810736
76	1.512580274
77	1.502414139
78	1.486898634
79	1.474986941
80	1.461079275
81	1.450136645
82	1.441119259
83	1.425521266
84	1.414078132
85	1.40142536
86	1.389267946
87	1.37615093
88	1.363831018
89	1.353860517
90	1.346756297
91	1.335749839
92	1.324316695
93	1.318124652
94	1.30834987
95	1.295346466
96	1.285938233
97	1.278381776
98	1.266745743
99	1.255906926
100	1.248213709
101	1.240893516
102	1.235343633
103	1.226783891
104	1.220421804
105	1.214174092
106	1.208005466
107	1.20141213
108	1.193930749
109	1.189323773
110	1.182753984
111	1.178334702
112	1.169413852
113	1.163089931
114	1.155273019
115	1.148728447
116	1.144980419
117	1.134544572
118	1.126336212
119	1.112222545
120	1.103496896
121	1.098163102
122	1.09091713
123	1.086861296
124	1.07995607
125	1.076571326
126	1.068568889
127	1.062696246
128	1.060273645
129	1.053523207
130	1.049040185
131	1.041827833
132	1.03799138
133	1.03497461
134	1.027691363
135	1.018717784
136	1.013994138
137	1.00729394
138	1.00185323
139	0.9956331107
140	0.9897311004
141	0.9867471959
142	0.9797701922
143	0.9733581281
144	0.9679310059
145	0.9644713132
146	0.9604912966
147	0.9550874496
148	0.9524990157
149	0.9474781377
150	0.9425128452
151	0.9372495964
152	0.9301059774
153	0.925031356
154	0.9194456405
155	0.9118736564
156	0.9075455759
157	0.9012415913
158	0.895450555
159	0.8927804338
160	0.8872880917
161	0.8851395044
162	0.8822184916
163	0.8766701821
164	0.8738376529
165	0.8712134667
166	0.8690604435
167	0.8637951389
168	0.8610322787
169	0.8559855586
170	0.8513252142
171	0.846318783
172	0.8412286438
173	0.8357953612
174	0.832550213
175	0.8292809102
176	0.823202026
177	0.8192950277
178	0.8150350777
179	0.8104509144
180	0.8070336385
181	0.8019359582
182	0.7966984884
183	0.7918472245
184	0.7891689341
185	0.7864564452
186	0.7842601244
187	0.7806293832
188	0.7772038933
189	0.7731514163
190	0.7704943639
191	0.7684915203
192	0.7658890356
193	0.7613237342
194	0.7565443652
195	0.7526859278
196	0.7506733437
197	0.7475620406
198	0.7430466923
199	0.7404805533
200	0.7386315493
201	0.735290857
202	0.7310386896
203	0.726566795
204	0.7243688884
205	0.7203372484
206	0.7169601322
207	0.71445883
208	0.713348053
209	0.7097893902
210	0.7069855422
211	0.7038279514
212	0.7025835587
213	0.6994373689
214	0.6972756231
215	0.6953562676
216	0.6913962915
217	0.6900161461
218	0.6868063683
219	0.683601846
220	0.6815789989
221	0.6806779404
222	0.6782121768
223	0.6758397771
224	0.6732062375
225	0.6697810175
226	0.6666824862
227	0.6639182888
228	0.662107795
229	0.6595146819
230	0.6575607335
231	0.6554265296
232	0.6523467301
233	0.651305745
234	0.6494707631
235	0.6466153111
236	0.6452363161
237	0.6422524386
238	0.6410318402
239	0.640027655
240	0.6367983066
241	0.6358039285
242	0.6323598441
243	0.6289754362
244	0.627398038
245	0.6254693981
246	0.6232508636
247	0.6206600171
248	0.6180804534
249	0.6156084619
250	0.6136062974
251	0.6127781144
252	0.6099117121
253	0.607255494
254	0.6060910766
255	0.6045464612
256	0.6042121948
257	0.6026520456
258	0.6024242867
259	0.601670454
260	0.6004508689
261	0.5999324876
262	0.5974110526
263	0.5962385819
264	0.5960676889
265	0.5948631768
266	0.5940961806
267	0.5932192624
268	0.590495502
269	0.5896807986
270	0.5888398659
271	0.5886530523
272	0.5866297771
273	0.5847756984
274	0.583891331
275	0.5817135097
276	0.5793041543
277	0.5779944403
278	0.5776736048
279	0.5764862212
280	0.5761734611
281	0.575224668
282	0.5747460018
283	0.5732059056
284	0.5712442595
285	0.5693091684
286	0.5689254355
287	0.5687534139
288	0.5685776676
289	0.5683824316
290	0.5682208323
291	0.5676938124
292	0.5675387443
293	0.5665270694
294	0.5658776581
