iter	Passed	Remaining
467	764	869
468	766	867
469	767	866
470	769	864
471	771	862
472	772	861
473	774	859
474	776	858
475	778	856
476	779	855
477	781	853
478	783	851
479	784	850
480	786	848
481	787	846
482	789	845
483	791	843
484	793	842
485	794	840
486	796	839
487	798	837
488	799	835
489	801	834
490	802	832
491	804	830
492	806	829
493	808	828
494	810	826
495	811	824
496	813	823
497	814	821
498	816	819
499	818	818
500	819	816
501	821	814
502	823	813
503	825	811
504	826	810
505	828	808
506	830	807
507	831	805
508	833	803
509	834	802
510	836	800
511	838	799
512	840	797
513	842	796
514	843	794
515	845	792
516	846	791
517	848	789
518	850	787
519	851	786
520	853	784
521	855	783
522	857	782
523	859	780
524	860	778
525	862	777
526	863	775
527	865	773
528	867	772
529	869	770
530	870	769
531	872	767
532	874	766
533	875	764
534	877	762
535	879	760
536	880	759
537	882	757
538	884	756
539	886	755
540	887	753
541	889	751
542	891	750
543	892	748
544	894	746
545	895	744
546	897	743
547	899	741
548	901	740
549	902	738
550	904	736
551	905	735
552	907	733
553	909	731
554	910	730
555	912	728
556	913	726
557	915	725
558	917	724
559	919	722
560	920	720
561	922	718
562	924	717
563	925	715
564	927	713
565	928	712
566	930	710
567	932	709
568	933	707
569	935	705
570	937	704
571	938	702
572	940	700
573	941	699
574	943	697
575	944	695
576	946	694
577	948	692
578	950	691
579	952	689
580	953	687
581	955	686
582	957	684
583	958	682
584	960	681
585	961	679
586	963	677
587	965	676
588	966	674
589	968	673
590	970	671
591	971	669
592	973	668
593	974	666
594	976	664
595	978	663
596	980	661
597	981	660
598	983	658
599	985	656
600	986	655
601	988	653
602	990	652
603	992	650
604	994	649
605	996	647
606	998	646
607	1000	644
608	1002	643
609	1004	641
610	1005	640
611	1007	638
612	1014	640
613	1016	639
614	1018	637
615	1019	635
616	1021	633
617	1022	632
618	1023	630
619	1025	628
620	1027	627
621	1029	625
622	1030	623
623	1032	621
624	1033	620
625	1035	618
626	1036	616
627	1038	614
628	1039	613
629	1041	611
630	1043	610
631	1045	608
632	1046	606
633	1048	605
634	1049	603
635	1051	601
636	1052	599
637	1054	598
638	1055	596
639	1057	595
640	1059	593
641	1061	591
642	1062	590
643	1064	588
644	1066	586
645	1067	584
646	1069	583
647	1070	581
648	1072	580
649	1075	578
650	1077	577
651	1078	575
652	1080	574
653	1082	572
654	1083	570
655	1085	569
656	1086	567
657	1088	565
658	1090	564
659	1092	562
660	1093	561
661	1095	559
662	1097	557
663	1098	555
664	1100	554
665	1101	552
666	1103	550
667	1105	549
668	1107	547
669	1108	546
670	1110	544
671	1111	542
672	1113	541
673	1115	539
674	1116	537
675	1118	535
676	1120	534
677	1121	532
678	1123	531
679	1125	529
680	1126	527
681	1128	526
682	1130	524
683	1131	522
684	1133	521
685	1135	519
686	1136	517
687	1138	516
688	1140	514
689	1141	512
690	1143	511
691	1144	509
692	1146	507
693	1148	506
694	1149	504
695	1151	503
696	1153	501
697	1155	499
698	1156	498
699	1158	496
700	1160	494
701	1161	493
702	1163	491
703	1164	489
704	1166	488
705	1174	489
706	1176	487
707	1177	485
708	1179	484
709	1181	482
710	1182	480
711	1184	479
712	1186	477
713	1187	475
714	1189	474
715	1190	472
716	1192	470
717	1193	468
718	1195	467
719	1196	465
720	1198	463
721	1200	462
722	1202	460
723	1203	458
724	1205	457
725	1207	455
726	1209	454
727	1210	452
728	1212	450
729	1214	449
730	1216	447
731	1217	445
732	1219	444
733	1221	442
734	1222	440
735	1224	439
736	1225	437
737	1227	435
738	1229	434
739	1231	432
740	1233	430
741	1234	429
742	1236	427
743	1237	425
744	1239	424
745	1241	422
746	1242	420
747	1244	419
748	1246	417
749	1247	415
750	1249	414
751	1251	412
752	1252	410
753	1254	409
754	1255	407
755	1257	405
756	1259	404
757	1260	402
758	1262	400
759	1264	399
760	1266	397
761	1267	396
762	1269	394
763	1271	392
764	1272	391
765	1274	389
766	1276	387
767	1278	386
768	1280	384
769	1281	382
770	1283	381
771	1284	379
772	1286	377
773	1287	376
774	1289	374
775	1291	372
776	1293	371
777	1295	369
778	1296	367
779	1298	366
780	1299	364
781	1301	362
782	1303	361
783	1304	359
784	1306	357
785	1308	356
786	1310	354
787	1311	352
788	1313	351
789	1314	349
790	1316	347
791	1317	346
792	1319	344
793	1321	342
794	1322	341
795	1325	339
796	1326	337
797	1328	336
798	1330	334
799	1332	333
800	1333	331
801	1335	329
802	1337	328
803	1338	326
804	1340	324
805	1342	323
806	1344	321
807	1345	319
808	1347	318
809	1349	316
810	1350	314
811	1352	313
812	1354	311
813	1355	309
814	1357	308
815	1359	306
816	1361	304
817	1363	303
818	1364	301
819	1366	299
820	1368	298
821	1369	296
822	1372	295
823	1373	293
824	1375	291
825	1377	290
826	1379	288
827	1380	286
828	1382	285
829	1383	283
830	1385	281
831	1387	280
832	1389	278
833	1391	276
834	1393	275
835	1394	273
836	1396	271
837	1398	270
838	1399	268
839	1401	266
840	1403	265
841	1405	263
842	1407	262
843	1408	260
844	1410	258
845	1412	257
846	1413	255
847	1415	253
848	1417	252
849	1419	250
850	1421	248
851	1422	247
852	1424	245
853	1426	243
854	1428	242
855	1429	240
856	1431	238
857	1433	237
858	1435	235
859	1436	233
860	1438	232
861	1440	230
862	1442	228
863	1443	227
864	1445	225
865	1446	223
866	1449	222
867	1451	220
868	1453	219
869	1455	217
870	1457	215
871	1459	214
872	1460	212
873	1462	210
874	1464	209
875	1466	207
876	1467	205
877	1469	204
878	1471	202
879	1472	200
880	1474	199
881	1476	197
882	1477	195
883	1479	194
884	1481	192
885	1483	190
886	1485	189
887	1486	187
888	1488	185
889	1489	184
890	1491	182
891	1493	180
892	1495	179
893	1497	177
894	1498	175
895	1500	174
896	1502	172
897	1503	170
898	1505	169
899	1506	167
900	1508	165
901	1510	164
902	1512	162
903	1514	160
904	1515	159
905	1517	157
906	1518	155
907	1520	154
908	1522	152
909	1523	150
910	1525	149
911	1527	147
912	1529	145
913	1531	144
914	1532	142
915	1535	140
916	1536	139
917	1538	137
918	1540	135
919	1541	134
920	1544	132
921	1546	130
922	1547	129
923	1549	127
924	1551	125
925	1552	124
926	1554	122
927	1556	120
928	1558	119
929	1560	117
930	1562	115
931	1563	114
932	1565	112
933	1567	110
934	1568	109
935	1570	107
936	1571	105
937	1573	104
938	1575	102
939	1577	100
940	1579	99
941	1581	97
942	1583	95
943	1585	94
944	1586	92
945	1588	90
946	1590	89
947	1592	87
948	1593	85
949	1595	83
950	1597	82
951	1599	80
952	1600	78
953	1602	77
954	1604	75
955	1606	73
956	1607	72
957	1609	70
958	1611	68
959	1612	67
960	1614	65
961	1616	63
962	1617	62
963	1619	60
964	1621	58
965	1623	57
966	1624	55
967	1626	53
968	1627	52
969	1629	50
970	1631	48
971	1632	47
972	1634	45
973	1636	43
974	1638	42
975	1639	40
976	1641	38
977	1643	36
978	1645	35
979	1646	33
980	1648	31
981	1649	30
982	1651	28
983	1653	26
984	1655	25
985	1657	23
986	1658	21
987	1660	20
988	1662	18
989	1663	16
990	1665	15
991	1666	13
992	1668	11
993	1670	10
994	1672	8
995	1673	6
996	1675	5
997	1677	3
998	1678	1
999	1680	0
